"","KH_1KO_L7_trim_paired_alPEv3.BAM","KH_2WT_L2_trim_paired_alPEv3.BAM","KH_3KO_L5_trim_paired_alPEv3.BAM","KH_4WT_L3_trim_paired_alPEv3.BAM","KH_6WT_L6_trim_paired_alPEv3.BAM","KH10KO_L1_trim_paired_alPEv3.BAM","KH7WT_L4_trim_paired_alPEv3.BAM","KH9KO_L8_trim_paired_alPEv3.BAM"
"Btk",146,37,6,7,4.25,9.25,15.5,12.25
"Rpl36a",1195.25,741.43,805.04,786.37,768.8,944.4,827.57,755.38
"Gla",341,150,164,133,109,152,103,116
"Hnrnph2",1950.45,1337.38,1916.52,1898.6,1811.45,1673.3,1796.5,1867.67
"Gm7855",1,4.5,3.5,1.5,1,2,1,3
"Armcx4",314,207,283,244,210,278,274,395
"Armcx1",36,13,13,30,21,31,23,34
"Armcx6",46.5,17,20.5,12.5,11.5,35,11,22
"Armcx3",130.33,72.5,96.17,91.5,89,113.33,94.33,127.67
"Armcx2",592,349,572,568,543,574,604,594
"Nxf2",6.12,0,8,0,1,5,1,0
"Zmat1",227,147,226,234.5,203.5,174,122,208
"Gm15023",0.11,0,0.2,0.2,1,0.33,1.45,0
"Tceal6",0.33,2.5,0,0,0.33,0.5,0,1
"Pramel",0,0,0,0,0,0,0,0
"Pramel3",0.11,0,0.53,0.2,0.33,0.33,0.78,0
"Gm5128",0,0,1.53,0.7,0.83,0,1.53,0
"Gm7903",0,0,1.53,0.7,0.83,0,1.78,0
"AV320801",0.11,0,0.2,0.2,1,0.33,1.45,0
"Nxf7",2,0,0,0,0,0,0,0
"Prame",0,0,0,0,0,0,0,0
"Tcp11x2",0,0,0,0,0,0,0,0
"Tmsb15a",0,0,0,0,0,0,0,0
"Gprasp1",1028.17,918.2,1331.14,1592.92,1579.03,921.65,1555.18,1336.13
"Armcx5",0,0,0,0,0,0,0,0
"Gprasp2",4,8.8,3.89,10.33,16.33,8.3,14.62,6.03
"Bhlhb9",513.72,308.49,586.82,486.98,497.94,526.35,471.54,566.08
"Arxes2",81,62,56,71,58,48.5,56.5,58
"Arxes1",9,10,6,8,6,4.5,6.5,9
"Bex2",13.5,23,19,14,18.5,14,13.5,9.5
"Nxf3",0,0,0,0,0,0,0,0
"Bex4",5.33,0.5,3,1,3,6.5,2,2
"Tceal8",27.5,25,16,25,12,22,30,19
"Tceal5",0.83,1,1,0.5,0.33,0.5,0,0
"Bex1",34.5,20,20,23.5,17.5,29.5,7,9
"Tceal7",0,0,0,0,0,0,0,1
"Wbp5",450.5,207,298,151,175.5,293.5,171,243
"Ngfrap1",721.5,368,520.5,380,404,556,391.5,468.5
"Kir3dl2",1.02,0,1.53,2.07,1.26,0.31,0.59,1.18
"Kir3dl1",0,0,0,0,0,0,0,0
"Tceal3",8.28,3.5,9,2.5,1.83,6.5,8,4.67
"Tceal1",0,0,0,0,0,0,0,1
"Morf4l2",2075,1277.17,1726.33,1523.17,1428.67,1321.17,1287.58,1522.33
"Glra4",76.9,67.4,104.1,150.4,150.6,75.7,139.1,98.81
"Plp1",114,86,86,161,139,96,162,111
"Rab9b",0,0,0,0,0,0,0,0
"H2bfm",0,0,0,0,0,0,0,0
"Tmsb15l",42.83,22,42.46,41.67,49.17,24.83,38.42,34.64
"Tmsb15b2",0,0,0,0,0,0,0,0
"Tmsb15b1",0,0,0,0,0,0,0,0
"Slc25a53",377,260,667.5,477,504,349,475.5,457.38
"Zcchc18",0,0,0,0,0,0,0,0
"Fam199x",351,364.5,502,441.5,415.5,252,437,387.5
"Esx1",0,0,0,0,0,0,0,0
"Il1rapl2",33.22,20.62,29.84,39.05,53.18,11.21,17.65,10.52
"Tex13a",0,0,0,0,0,0,0,0
"Nrk",0,0,0.2,0,1,0.1,0,0
"Serpina7",0,0,0,0,0,0,0,0
"4930513O06Rik",0.67,0,0.14,0.82,0.43,0,0.6,0
