"","KH_1KO_L7_trim_paired_alPEv3.BAM","KH_2WT_L2_trim_paired_alPEv3.BAM","KH_3KO_L5_trim_paired_alPEv3.BAM","KH_4WT_L3_trim_paired_alPEv3.BAM","KH_6WT_L6_trim_paired_alPEv3.BAM","KH10KO_L1_trim_paired_alPEv3.BAM","KH7WT_L4_trim_paired_alPEv3.BAM","KH9KO_L8_trim_paired_alPEv3.BAM"
"Vmn1r66",0,0,0,0,0,0,0,0
"Nlrp4d",0.83,0,0,0,0,0,0,0
"Vmn1r67",0,0,0,0,0,0,0,0
"Zik1",93,63,135,110,157,82,127,135
"Vmn1r68",0,0,0,0,0,0,0,0
"Vmn1r69",0,0,0,0,0,0,0,0
"Vmn1r70",0,0,0,0,0,0,0,0
"Nlrp4b",1,0,1.25,1,0,0,2,0.2
"Vmn1r71",0,0,0,0,0,0,0,0
"Zscan4b",0,0,0,0,0,0,0,0
"Zscan4c",0,0,0,0,0,0,0,0
"Zscan4d",0,0,0,0,0,0,0,0
"Zscan4f",0,0,0,0,0,0,0,0
"Gm7207",0,0,0,0,0,0,0,0
"Vmn1r72",0,0,0,0,0,0,0,0
"Vmn1r73",0,0,0,0,0,0,0,0
"Vmn1r74",0,0,0,0,0,0,0,0
"Vmn1r75",0,0,0,0,0,0,0,0
"Vmn1r76",0,0,0,0,0,0,0,0
"Vmn1r77",0,0,0,0,0,0,0,0
"Vmn1r78",0,0,0,0,0,0,0,0
"Vmn1r79",0,0,0,0,0,0,0,0
"Vmn1r80",0,0,0,0,0,0,0,0
"Vmn1r81",0,0,0,0,0,0,0,0
"Vmn1r82",0,0,0,0,0,0,0,0
"Vmn1r83",0,0,0,0,0,0,0,0
"Vmn1r84",0,0,0,0,0,0,0,0
"Zfp551",61,44,106,120,95,64,94,104
"Zfp606",282,209,285,371,408,231,358,306
"2900092C05Rik",2.63,1.65,6.44,4.75,4.43,2.66,3.84,1.13
"Vmn2r53",176.5,101,260.03,200.92,208,170,159.5,223.5
"Vmn2r54",0,0.5,0,0,0.25,0,0,1
"Vmn2r55",0.95,0.32,1.88,1.8,2.15,1.78,0.97,1.9
"Vmn2r56",1.14,1.45,0.73,2.51,2.55,0,0.29,0
"Zscan18",467.62,312.34,404.88,485.41,486.84,372.74,438.62,376.3
"Zfp329",58.75,39,101,106,130,61,113,141
"Zfp110",913,638,1015.5,1037.5,1046.5,720,1049,935.6
"Zfp128",41,38,58,51,47,32,50,42
"Zscan22",165,127,187,192,205,175,200,226
"Rps5",28692.5,20336,27534,21520,21565,21919,22216,22657.12
"Rnf225",49,6,29,11,15,30,23,15
"Zfp324",105,49,105,97,96,83,88,137
"Zfp446",242,190,276,332,309,272,355,278
"Slc27a5",12,17,5,17,44,20,23,11
"Zbtb45",349,177,363,331,335,391,324,349
"Gm31649",1,0,0,0,0,0,0,2
"Trim28",4936,3089,4726,4220,4085,4138,4102.17,4248
"Chmp2a",1797.5,942,1314,1188,1115,1562,1335.5,1271.5
"Ube2m",1781,954,1184,1254,1154,1440,1156.5,1149.2
"Mzf1",20.5,10,29,31,26,15,26,26
"Vmn1r85",0,0,0,0,0,0,0,0
"Vmn1r86",0,0,0,0,0,0,0,0
"Vmn1r87",0,0,0,0,0,0,0,0
"Vmn1r88",0,0,0,0,0,0,0,0
"Gm38947",0,0,0,0,0,0,0,0
"Vmn1r89",0,0,0,0,0,0,0,0
"6330408A02Rik",101,70,99,108,122,116,114,96
"Lig1",1766.5,293.5,1416.5,623,567.5,1307.5,689.5,1538.33
"Pla2g4c",2299.15,1587.91,1683.49,1561.88,1456.84,1557.86,1460.48,1372.05
"Gm38689",0,0,0,0,0,0,0,0
"Cabp5",0,0,1,0,0,1,0,0
"Bsph1",0,0,0,0,0,0,0,0
"Bsph2",0.56,0,0,0,0,0,0,0
"Sult2a5",5.5,1.05,3.7,3.87,3.64,1.97,1.45,2.44
"Sult2a2",23.11,4.71,32.64,10.89,16.01,11.9,12.89,29.16
"Sult2a1",0,0.57,0,1.67,0.5,0.17,0,0.58
"Sult2a4",1.4,0.91,5.88,3.4,1.69,2.76,1.28,3.25
"Sult2a3",1,0,0.12,0,0.1,2,0.1,0
"Sult2a6",1,0,1,0,0,0,0,0
"Sult2a8",0,0,0.17,0.33,0,0,0.14,0
"Sult2a7",0,0,0,0,0,0,0,0
"Vmn1r90",0,0,0,0,0,0,0,0
"Obox7",0,0,0,0,0,0,0,0
"Obox2",0,0,0,0,0,0,0,0
"Obox1",0,0,0,0,0,0,0,0
"Obox3",0,0,0,0,0.5,0,2.33,0.33
"Obox5",0,0,0,0,0,0,0,0
"Obox6",0,0,0,0,0,0,0,0
"Crx",0,0,0,1,0,0,0,0
"Crxos",1,0,0,0,1,1,0,0
"Sepw1",2691,1741,2243,1866,1850,2376,1972,2050
"Gltscr2",3959.5,2217,3823.5,2857,2819,3312,2567.5,3151.5
"Ehd2",15,32,9,4,3,6.25,4.25,2
"Gltscr1",1917.5,1213,1697,2118,1854,1654,1697,1452
"Zfp541",2,0,2,3,2,4.33,1,2
"Napa",2152,1319,1666,1757,1754,1663,1706,1614
"Kptn",676,401,537,491,527,542,518,529
"Slc8a2",3,2,3,2,2,5,0,2
"Meis3",766,410,483,544,545,604,619,516
"Dhx34",983,638,786,874,903,819,899,713
"C5ar2",1,3,0,0,0,0,0,0
"C5ar1",16.35,3.4,0,2.17,2.2,7.07,0,2.2
"Inafm1",277,284,174,298,312,252,264,139
"Ccdc9",1706,1380,1246,1716,1597.2,1419,1611,1129
"Bbc3",431,555,361,611,497,143,290,153
"Sae1",2162.5,1547.7,2409.3,2383.5,2077.27,1770.07,1864.9,2029.5
"Zc3h4",2873,1833,3162,2753,2629,2555,2459,2734
"Tmem160",533,376,369,336,318,493,361,350
"Npas1",82,49,76,87.5,84,54,88,54.33
"Arhgap35",513.9,418.72,620.05,703.11,617.66,452.53,682.66,563.09
"Ceacam15",14,0,5,8,5,13,12,5
"Ceacam9",0,0,0,1,0,0,0,0
"Ap2s1",2030,1150,1364,1199,1224.1,1582,1228,1335
"Slc1a5",2811.33,1663,2680.33,2384,2401,2325,2308,2502
"Fkrp",432,298,491,451,486,456,506,443
"Strn4",2267,1760,1917,2542,2401,1969,2301,1881
"Prkd2",5006,4554,5423,6623.33,5913,4922.67,5797.17,5043.17
"Dact3",16,4,3,1,3,7,2,3.5
"Gng8",2,8,0,0,1,1,1,0
"Ptgir",6,0,8,4,3,9,3,10
"Calm3",2605.5,969,2590.5,1742.5,1723,1943,1783,2289
"Pnmal2",4,4,1,0,0,0,0,1
"Pnmal1",0,0,0,0,0,0,0,1
"Gm42372",143.2,96,214.12,177,253.12,167,295,275.12
"Ccdc8",5,3,0,1,3,0,2,0
"Ppp5c",2359,1498,2007,1910,1850,2079,1932,1775
"Hif3a",22,19,30,46,21,28.5,34,22
"Psg16",7.76,0.33,4.25,2.11,4.35,1.64,2.2,2.42
"Ceacam3",0,0,0,0,0,0,0.27,0
"Psg29",0,0,0,0,0,0,0,0
"Gm39557",0,0,0,0,0,0,0,0
"Ceacam5",0,0,0.5,0,0,0,0,0
"Ceacam14",0,0,0,0,0,0,0,0
"Gm5155",0.5,0,0,0.33,0,0,1,0
"Ceacam11",0,0,0,0,0,0,0,0
"Ceacam13",1.4,0,0,0.33,0,0.2,0,0
"Ceacam12",0,0,0,0,0,0,0,0
"Igfl3",0,0,0,0,0,0,0,0
"Mill1",0,0,0,0,0,0,0,0
"Psg18",0,0,0,0,0,0,0,0
"Psg28",0,0,0,0,0,0,0,0
"Psg26",0,0,0,0,0,0,0,0
"Psg25",0,0,0,0,0,0,0,0
"Psg27",0,0,0,0,0,0,0,0
"Psg23",0,0,0,0,0,0,0,1
"Psg21",0,0,0,0,0,0,0,0
"Psg20",0.6,0,1.04,0.69,0.4,0.84,0.2,0.85
"Psg22",0,0,0,0,0,0,0,0
"Psg19",0,0,0,0,0,0,0,0
"Psg17",0,0,0,0,0,0,0,0
"Gm36044",0,0,0,0,0,0,0,0
"Mill2",1.2,0,1,0,0,0,0,0
"Pglyrp1",602,200,436,171,220,366,224,421
"Ccdc61",503,446,479.5,640,537,476,524,434
"Nova2",0.33,1,0.33,0,0,1,1,2
"Nanos2",0,0,1,2,0,1,1,2
"Mypop",809,490,857.93,890.2,990.92,739,808.33,757.33
"Irf2bp1",547,390,511,502,477,503,440,429
"Foxa3",0,0,0,0,0,0,0,0
"Sympk",2398.75,1454.5,2807.5,2576.5,2375.33,2350,2565,2600.5
"Rsph6a",2,0,0.14,0.5,0.38,0.25,0.12,0.25
"Dmwd",33,4,19,5,6,14,11,12
"Dmpk",36,10,2,1,4,8,4,1
"Six5",37,11,8,9,4,29,4,15
"Gm4969",6,0,2,1,3,6,0,3
"Fbxo46",334,274,374,337.4,333,282,303,366
"Qpctl",271,207,201,303,246,183,267,206
"Snrpd2",866.5,421,547,492.25,462.92,650.58,507.38,568.67
"Gipr",2.5,6,4,3.9,4.2,8.1,7.3,4.9
"Eml2",508.5,333.47,402.41,374.82,368.2,428.22,420,388.4
"Gpr4",53,9.2,3.5,4,9.25,1,8,6.25
"Opa3",268,183,467,366,352,220.5,315,371
"Gm38499",35,43.2,26,60,33,38,41,31
"Vasp",6781,5995,7561,6493,6543,6002,6822,6563.33
"Ppm1n",25,17,15,34,37,24,24,15
"Rtn2",6,4,5,3,4,2,2,2
"Fosb",4393,1812,711,941,707,1280,262,325
"Ercc1",433,219,342,445,410,323.5,446,339
"Cd3eap",412,243,408,393,404,365,376,348
"Ppp1r13l",19,5,14,16,15,23,16,23
"Ercc2",730,621,876,943,891,835,845,766
"Klc3",106,75,92,78,106,134,106.5,100
"Ckm",29,9,18,15,15,24,20,17
"Mark4",723.7,454,742,698,636,679,621,627
"Exoc3l2",5.67,3,7,4.5,4,2,5,5
"Bloc1s3",166,119,151,166,154.5,151,154,160
"Trappc6a",560,363,449,429,423,446,436,382
"Nkpd1",10,5,2,6,4,2,2,3
"Ppp1r37",986,589,650,921,915,812,828,589
"Gemin7",659,479,656,570,577,504,471,452
"Zfp296",198,77,268,135,148,97,141,118
"Clasrp",1434,971,879,1277,1155,1204,1136,861
"Relb",2427.5,761,1461.33,891.25,880,1579.5,899,1565.33
"Clptm1",1711,993,1721,1588,1553,1333,1582,1605
"Apoc4-apoc2",0,0,0,0,0,0,0,0
"Apoc2",0,0,0,0,0,0,0,0
"Apoc4",0,0,0,0,0,0,0,0
"Apoc1",5,0,0,0,0,0,0,0
"Apoe",552,414,127,232,223.2,208,237,104
"Tomm40",1215,615,950,941,800.5,963,973.27,887
"Nectin2",17,3,0,0,1,2,4,2
"Bcam",18,5,3,4,2.25,4,3,6
"Cblc",1,1,0.1,0,2,0,0,1
"Bcl3",1377,181,782,297,279,1100.33,257,981
"Gm19345",0,0,0,0,0,0,0,0
"Ceacam16",44.29,15.5,51.5,37,15,32.64,29.5,36
"Ceacam19",3.5,0,0,2.25,0,0.2,0,0
"Pvr",640.13,397.33,510,545,631.25,418.67,686.2,507.48
"Igsf23",76,86,145,81,92,58,114.17,86
"Ceacam20",0.21,0,0.54,0,0,1.2,0,0.38
"Nlrp9b",6.44,11.11,6.88,9.67,5.66,11.2,9.67,4.84
"Vmn1r91",0,0,0,0,0,0,0,0
"Gm16442",0,0,0,0,0,0,0,0
"Vmn1r93",0,0,0,0,0,0,0,0
"Vmn1r94",0,0,0,0,0,0,0,0
"Vmn1r95",0,0,0,0,0,0,0,0
"Gm6164",0,0,0,0,0,0,0,0
"Gm4498",0,0,0,0,0,0,0,0
"Gm4133",0,0,0,0,0,0,0,0
"Gm5728",0,0,0,0,0,0,0,0
"Vmn1r100",0,0,0,0,0,0,0,0
"Vmn1r101",0,0,0,0,0,0,0,0
"Gm10670",0,0,0,0,0,0,0,0
"Vmn1r103",0,0,0,0,0,0,0,0
"Vmn1r104",0,0,0,0,0,0,0,0
"Gm5726",0,0,0,0,0,0,0,0
"Gm4141",0,0,0,0,0,0,0,0
"LOC101055864",0,0,0,0,0,0,0,0
"Vmn1r107",0,0,0,0,0,0,0,0
"Vmn1r111",0,0,0,0,0,0,0,0
"Gm10668",0,0,0,0,0,0,0,0
"Vmn1r112",0,0,0,0,0,0,0,0
"Vmn1r113",0,0,0,0,0,0,0,0
"Vmn1r114",0,0,0,0,0,0,0,0
"Vmn1r115",0,0,0,0,0,0,0,0
"Vmn1r116",0,0,0,0,0,0,0,0
"Vmn1r117",0,0,0,0,0,0,0,0
"Vmn1r118",0,0,0,0,0,0,0,0
"LOC108167476",0,0,0,0,0.2,0,0,0
"Vmn1r119",0,0,0,0,0,0,0,0
"Vmn1r120",0,0,0,0,0,0,0,0
"Vmn1r121",0,0,0,0,0,0,0,0
"Vmn1r122",0,0,0,0,0,0,0,0
"Vmn1r123",0,0,0,0,0,0,0,0
"Gm5157",0,0,0,0,0,0,0,0
"Vmn1r124",0,0,0,0,0,0,0,0
"Vmn1r125",0,0,0,0,0,0,0,0
"Vmn1r126",0,0,0,0,0,0,0,0
"Vmn1r127",0,0,0,0,0,0,0,0
"Vmn1r128",0,0,0,0,0,0,0,0
"Vmn1r129",0,0,0,0,0,0,0,0
"Gm6882",0,0,0,0,0,0,0,0
"Vmn1r130",0,0,0,0,0,0,0,0
"Vmn1r131",0,0,0,0,0,0,0,0
"Vmn1r132",0,0,0,0,0,0,0,0
"Gm8600",0.11,0.33,0.21,0.32,0.31,0,0,0
"Gm4175",0,0,0,0,0,0,0,0
"Gm4177",0,0,0,0,0,0,0,0
"Vmn1r135",0,0,0,0,0,0,0,0
"Gm5725",0,0,0,0,0,0,0,0
"Gm5891",0,0.41,0,0.2,0,0,0.11,0
"Vmn1r137",0,0,0,0,0,0,0,0
"Vmn1r138",0,0,0,0,0,0,0,0
"Gm6176",0,0,0,0,0,0,0,0
"Vmn1r139",0,0,0,0,0,0,0,0
"Gm16451",0,0,0,0,0,0,0,0
"Gm10666",0,0,0,0,0,0,0,0
"Vmn1r142",0,0,0,0,0,0,0,0
"Vmn1r143",0,0,0,0,0,0,0,0
"Gm8653",0,0,0,0,0,0,0,0
"Gm8453",0,0,0,0,0,0,0,0
"Gm4187",0,0,0,0,0,0,0,0
"Gm8660",0,0,0,0,0,0,0,0
"Vmn1r148",0,0,0,0,0,0,0,0
"Vmn1r149",0,0,0,0,0,0,0,0
"Gm10665",0,0,0,0,0,0,0,0
"Vmn1r151",0,0,0,0,0,0,0,0
"Vmn1r152",0,0,0,0,0,0,0,0
"Gm8677",0,0,0,0,0,0,0,0
"Gm4201",0,0,0,0,0,0,0,0
"Gm4565",0,0,0,0,0,0,0,0
"Vmn1r155",0,0,0,0,0,0,0,0
"Gm8693",0,0,0,0,0,0,0,0
"Gm4567",0,0,0,0,0,0,0,0
"Vmn1r157",0,0,0,0,0,0,0,0
"Vmn1r158",0,0,0,0,0,0,0,0
"Vmn1r159",0,0,0,0,0,0,0,0
"Vmn1r160",0,0,0,0,0,0,0,0
"Gm8708",0.17,0.53,0.24,0.44,0.47,0.1,0.14,1
"Gm4214",0,0,0,0,0,0,0,0
"Gm4216",0,0,0,0,0,0,0,0
"Vmn1r163",0,0,0,0,0,0,0,0
"Gm8720",0,0,0,0,0,0,0,0
"Gm10662",0,0.41,0,0.2,0,0,1.11,0
"Vmn1r165",0,0,0,0,0,0,0,0
"Vmn1r166",0,0,0,0,0,0,0,0
"Gm6902",0,0,0,0,0,0,0,0
"Nlrp4e",20.82,16.91,10.92,14.16,14.75,7.69,3.35,10.1
"Nlrp5",0.14,0,1,0,0.17,1.14,0,0.5
"Vmn1r167",0,0,0,0,0,0,0,0
"Vmn1r168",0,0,0,0,0,0,0,0
"Vmn1r169",0,0,0,0,0,0,0,0
"Vmn1r170",0,0,0,0,0,0,0,0
"Vmn1r171",0,0,0,0,0,0,0,0
"Vmn1r172",0,0,0,0,0,0,0,0
"Vmn1r173",0,0,0,0,0,0,0,0
"Vmn1r174",0,0,0,0,0,0,0,0
"Vmn1r175",0,0,0,0,0,0,0,0
"Vmn1r176",0,0,0,0,0,0,0,0
"Vmn1r177",0,0,0,0,0,0,0,0
"Vmn1r178",0,0,0,0,0,0,0,0
"Vmn1r179",0,0,0,0,0,0,0,0
"Vmn1r180",0,0,0,0,0,0,0,0
"Vmn1r181",0,0,0,0,0,0,0,0
"V1rd19",0,0,0,0,0,0,0,0
"Vmn1r183",0,0,0,0,0,0,0,0
"Gm36694",0,0,1,0,0,0,0,1
"Zfp180",1169,827.5,1338,1492,1365.78,937.67,1302.5,1089.5
"Zfp112",40,49,31,50,44,39,47,38
"Zfp235",191.88,138.33,220.47,256.14,244.68,209.85,212.17,208.16
"Zfp114",11.75,12.5,7.14,5.5,7.03,16.62,6.83,11.1
"Zfp111",14,1,2.14,2,1.53,2.25,3.33,1
"Zfp109",43.54,21,78.14,92.06,64.68,34.17,75.08,94.64
"Zfp108",0,0.5,4.14,10,4.2,1.38,7,2.1
"Zfp93",42.5,11.5,38.64,40.9,51.32,25.38,45.84,41
"Zfp61",398,243,270,308,335,350.73,340,285
"Zfp94",80.14,45.75,124.29,134.2,136.14,90,134.29,101.29
"Tescl",0,0,0,0,0,0,0,0
"Lypd5",0,0,0,0,0,0,0,0
"Kcnn4",2090.25,1693,1390,2114.45,1899.2,1818,1806.7,1483.2
"Smg9",1166,880,911,1223,1101,927,1173.33,866.5
"Irgc1",7,11,7,21.1,20,3,15.11,4
"Plaur",185.58,189.33,48.58,339.5,209,98,260,67.25
"Cadm4",21,12,7,16,7,11,15,6
"Zfp428",42,18,23,29,31,38,31,23
"Irgq",274.5,221.5,403,395.5,343,261,310,360.5
"Pinlyp",2,0,0,0,0,0,0,0
"Xrcc1",1278,803,934,1042,1030,1163,1023,944
"Zfp575",3,2,0,2,1,8,1,2
"Ethe1",193,150,127,168,152,147,157,131
"Phldb3",148.1,99,108,126,134.17,116,124,109
"Lypd3",2,0,1,0,0,0,1,0
"Tex101",0,0,0,0,0,0,0,0
"Gm1096",0,0,0,0,0,0,0,0
"BC049730",0,0,0,0,0,0,0,0
"Gm4763",0,0,0,0,0,0,0,0
"Cd177",8,10,0,1,1.2,0,1,0
"Ceacam10",0.4,0,0,0,0.2,0,0,0
"Lypd4",0,0,0,0,0,2,0,0
"Dmrtc2",3,0,2,1,1,0,0,3
"Rps19",5952.13,4835.58,5235.14,4971.09,4778.97,5401.62,4952,4649.03
"Cd79a",220,97,61,69,52,26.5,76.5,42
"Arhgef1",31595.04,25065.12,25018.35,34154.34,31867.17,28142.06,30631.38,22655.79
"Gm4881",10,9,4,12,13,4,12,12
"Rabac1",866,874,819,1076,1086,762,1061,694
"Atp1a3",57,4,5,9,6,4,10,3
"Grik5",292,130,136,169,182.17,246,178,146
"Zfp574",315,212,381,328,392,290,317.1,316
"Pou2f2",624,293,615.25,574,571.33,530,616,643.2
"Dedd2",961,603,907,941,924,785,955,834
"Zfp526",150,102,327,326,328,146,327,316
"Gsk3a",2471,1629.5,2179.5,2467,2348.8,2139.5,2417.5,2264.5
"Erf",479,365,534,602,536,406,440,477
"Cic",3401.5,2371.5,4385.5,3984,3689,3436.5,3615,3759
"Pafah1b3",260,72,112,118,82,156,100,166
"Prr19",1,0,2,0,1,1,0,0
"Tmem145",0,0,1,0,0,0,0,1
"Megf8",26.6,2.67,6.33,1.45,1.4,7,1.2,2.45
"Cnfn",0,0,0,0,0,1,0,0
"Lipe",380,218,251,334,310,247,369,246
"Cxcl17",0,1.75,0.25,2,2,1,0,0
"Ceacam1",45.5,23.5,11.33,8,9.25,6.5,22.5,5
"Ceacam2",25.2,9.5,12,13.62,5.75,4.5,11.5,10
"Erich4",0,0,0,0,0,0,1,0
"Atp5sl",1206,749,990,1082.33,1005,1033,1093,1029
"B3gnt8",26,3,3,8,6,5,14,5
"Bckdha",635,359,610,600,506,468,534,442
"Exosc5",863,758,833,996,878,788,907,847
"Tmem91",40,24,37,67,62,26,39,40
"B9d2",495,215,281,276,289,301,282,288
"Tgfb1",1786,1191,1503,1670.5,1521.5,1452,1517,1477
"Ccdc97",1454,924,1169,1171,1223,1181,1082.11,1117.33
"Hnrnpul1",4676.5,2467,5019,4154.5,3892,3554.5,4026,4462.5
"Axl",561,148,263,196,194.5,257,195,350
"Cyp2s1",136,97,59,187,126,61,138,96
"LOC101055953",11,5.5,6.5,6.5,4,4,5.5,9.5
"Cyp2b10",0,0,0,0,0,0,0,0
"Cyp2b13",174,129,208,205.5,154.5,134.93,205.5,201.62
"Cyp2b9",0,0,0.2,0,0,0,0,0.2
"Vmn1r184",0,0,0,0,0,0,0,0
"Cyp2a4",0,0,0,0,0,0,0,0
"Nlrp9c",0.24,0.85,0.5,1.34,0.56,0.11,0.12,0.22
"Nlrp4a",0.1,0,0.11,0,0,0,0.11,0.5
"Nlrp9a",0,0,1,0,0,0,0,0.25
"Vmn1r185",0,0,0,0,0,0,0,0
"Cyp2b23",0,0,0,0,0,0,0,0
"Cyp2b19",0,0,0,0,0,0,0,0
"Cyp2g1",1.21,0,1.17,0.25,0.68,0,0,0
"Cyp2a5",0,0,0,0,0,0,0,0
"Cyp2a22",0,0,0,0,0,0,0,0
"Cyp2a12",0,0,0,0,0,0,0,0
"Cyp2f2",0,0,0,0,0,0,2,0
"Cyp2t4",29,21,15,31.33,29.17,25.17,27,16
"Egln2",792,729,840,1031,947,850,994,794
"Rab4b",1929,1097,1262.2,1462,1422,1515.5,1428,1258
"Mia",5,7,6,14,13,6,6,3
"Snrpa",1083.87,426.05,760.31,700.73,660.17,814.63,670.25,782.87
"BC024978",192,142,207,230,245,154,234,195
"Itpkc",262,178,249,338,296,250,313,264
"Adck4",359.95,227,297.25,263.5,262.5,312.25,310,283
"Numbl",37,22,16,44,40,21,34,18
"Ltbp4",7,17,6.5,3,2,4,2,3
"Shkbp1",1195,690,977.5,996,909,1003,987,964
"Sptbn4",6.2,3.5,4,3,8,12.6,0,0.25
"Blvrb",119,41,52,36,34,47,45,48.5
"Sertad3",342.5,217,198,264,266,343,274,262
"Sertad1",721,383,393,368,366,603,290,339
"Prx",52,11,40.93,22,34.1,37.22,31.1,50.61
"Hipk4",16,9,5,10,15,13,10,16
"Pld3",2825,1757,2308.33,2855,2785,2232,2769,2394.25
"2310022A10Rik",562,274,559.11,534,461,377,430,503
"LOC108167412",0,0,0,0,0,0,0,0
"Akt2",1692.98,1083.5,1679.33,1609.5,1536.83,1502.5,1578.5,1542.25
"Ttc9b",0,0,0,0,0,0,0,0
"Map3k10",255,155,221,284,245,248,226,221
"C030039L03Rik",89.94,55.76,96.12,174.04,149.38,89.38,127.49,112.51
"Zfp60",151.2,124.5,210.71,229.46,205.36,128.01,185.62,181.88
"Zfp626",180.25,145.62,197.26,221.48,288.47,171.29,303.26,237.52
"Zfp59",148.45,124,165.22,201.82,215.53,134.58,236.9,175.25
"Zfp607",872.29,701.67,935.23,1318.28,1206.69,672.39,1094.41,897.49
"1700049G17Rik",195.04,232.95,155.11,329.32,293.17,129,312.1,165.74
"Gm10651",65,52,99.5,69.5,69,58.5,62.5,95.5
"Zfp780b",226.82,153.12,388.84,341.3,352.56,207.86,310.18,303.62
"Zfp850",413,268.83,405.58,469.88,429.09,312.33,345.5,360.58
"Psmc4",2638,1270,1973,1728,1757,2045,1841.5,1839
"Fcgbp",2.5,2,2.2,1.22,1.31,0.17,0.51,0.37
"9530053A07Rik",5.5,12,9,12.14,19,9,8,7
"Fbl",1204.75,869.42,1246.25,1220.83,980.08,1063.17,1092.33,923.25
"Dyrk1b",511,344,515,664,598,441,477,540
"Gm38591",0,0,0,0,0,0,0,0
"Eid2",236,116,177,144,143,195,159,148
"Eid2b",80,59,62,86,64,67,75,76
"BC089491",0,0,0,1,0,0,0,0
"Dll3",2,0,0,0,0,2,0,0
"Timm50",838,430,671,607,569,597,617,590
"Supt5",5405,3049,5207,4821,4486,4450,4644.2,4786
"Rps16",5405.68,4005.87,4424.07,4172.8,3977.52,4218,4038.03,3536.69
"Plekhg2",3759,2716,2937,4108,3835,3750,3870,2913
"Zfp36",9367,6650,4667,4170,3980,6052,3621.33,3749
"Med29",201,91,175.5,155.5,134,139.5,166,154.5
"Paf1",2132,1424,1607,1735.11,1646,1931,1513,1522
"Samd4b",616,349,693,637,668.5,467.5,567.5,636.5
"Gmfg",2838,1683.5,1871.5,2396.5,2215,2156.5,2125,1903.5
"Lrfn1",38,23,15,11.67,10,30.1,16.17,19.35
"Gm6518",0,0,0,0,0,0,0,0
"Ifnl2",0,0,0,0,0,0,0,0
"Ifnl3",0,0,0,0,0,0,0,0
"Sycn",0,0,0,0,0,0,0,0
"Nccrp1",35,0,22,1,1,17,1,30
"Pak4",281,153,223,225,188,213,216,260
"Acp7",0,0,0,0,0,1,0,0
"Fbxo27",151,145,170,172,178.42,196,230.61,187.2
"Fbxo17",507,413,405,624,558,452.5,536,424
"Mrps12",362,266,272,228,266,356,269,275
"Sars2",654,385,467,478,433,581.1,477,430
"Ccer2",16,0,1,6,6,7,1,2
"Nfkbib",1116,538,663,606,495,697,476,671
"Sirt2",1885,980,1397,1475,1400,1344,1343,1446
"Rinl",7434.5,4437.5,6360.12,5823,6029.62,6169.12,6236.62,6039
"Hnrnpl",8484,5628.5,6962,7709,7124.5,6473,7602.5,6479
"Ech1",933,569,783,726,744,740,811,719
"Lgals4",399,317,198,332,354,333,344,205
"Lgals7",1,1,1,1,6,6,1,3
"Capn12",18,22,5,11,3,6,3,2
"Actn4",3531.5,1722,4345.5,3298.5,3178.5,2960,3379.67,3819.5
"Eif3k",4064.8,2604,3738,2845,2829,3336,3120,3391
"Map4k1",3391,1803,2830,2696.5,2484,2726,2620,2769.11
"Ryr1",121,50,88,93,86,86.7,60.2,82
"Rasgrp4",93,46,7,38,15,20,32,17
"Fam98c",259,209,226,272,263,236,276,254
"Spred3",11,10,12,19,24,18,23,25
"Ggn",3,10,2,5,9,3,6,1
"Psmd8",2576.5,1601,2108,1806.17,1687.5,2204.5,1869.5,2079
"Catsperg1",73.64,21,28.5,61.44,48.75,52.5,48.95,31.2
"Kcnk6",96.17,13,52,13,14.5,36,5,26
"Yif1b",188,142,160,164,145,135,180,168
"2200002D01Rik",31,13,17,16,18,23,10,6
"Spint2",810.25,666,595,925,825,715,847,572
"Ppp1r14a",4,8,2,1,8,2,5,1
"Dpf1",4,1,3,0,1,3,0,0
"Sipa1l3",450.03,352.33,641.75,599,539,446.5,524,467.33
"LOC108167415",412.79,166.47,339.73,313.79,294.35,275.89,294.74,456.7
"Catsperg2",7.5,10,8.5,8,9.75,12.75,10.25,4.5
"Zfp84",683,548.33,751.9,834.45,827.67,566.5,835.17,690.07
"Zfp30",42,28,32,43,35,33,30,32
"Zfp790",312.75,255.5,426,429.22,361,291,339.1,347.6
"Zfp940",208.17,91,132,141,138,186,157.5,176
"Zfp420",131,84,114,134,133,94,117,85
"Zfp27",231,160,251.33,252,297,252.33,298,277
"Zfp383",400,195,342,367,333,310,366,316
"Zfp74",497,341,443,524,525,392,460,391
"Zfp568",408.99,348.37,561.12,471.82,479.97,333.42,480.87,575.2
"Zfp14",102.51,71.2,127.71,141,172.45,113.41,147.6,104.25
"Zfp82",203,152,210,284,259.2,246.33,283.67,208
"Zfp566",374,247,303.3,468.14,408.5,291,380,278
"Zfp260",1251,1010,1823,1907,1933,1093,1818,1584
"Zfp382",537.45,251.5,526.86,392.89,397.6,383.61,363.58,534.34
"Zfp146",1725,1044,1814,2066,2091,1666,1747,1779
"Gm5113",49,27,53,45,37,29,46,40
"Cox7a1",19,8,9,9,9.44,16,10.12,16
"Capns1",4051,2136,3302,2896.33,2908,3128,3004.5,3148
"Tbcb",520.48,281.67,370.71,331.94,334.3,389.31,300.65,333.35
"Polr2i",305,146,195,174,147,233,187,200
"Ovol3",1,3,0,0,0,0,1,0
