"","CD4Tfh_1","CD4Tfh_2","CD8Tfc_1","CD8Tfc_2"
"Il19",1,0,0,1
"Il10",840.6,826.79,249.6,128.24
"Mapkapk2",2794,3478,2328,2500
"Dyrk3",7,6,29,8
"Eif2d",1460,1471,1084,1126
"Rassf5",744,1085,565,907
"Ikbke",9364,13779,7833,9412
"Srgap2",1687,2361.22,1847,2030
"Fam72a",143,96,143,87
"Avpr1b",0,0,0,0
"Ctse",9343.67,10794.92,5373.83,6541.35
"LOC108167725",0,0,0,0
"Rab7b",16,23,33,15
"Slc26a9",0,0,0,0
"Pm20d1",3,4,3,1
"Slc41a1",2232,3210,1397,1642
"Rab29",476.4,451,433,514.67
"Nucks1",2655.75,2091.12,2298.44,1401
"Slc45a3",7,0,11,5
"Elk4",561,976,468,805
"Mfsd4a",4894,5126.25,4105,3021.11
"Cdk18",0,1,1,1
"Lemd1",0,0.33,0,0.17
"Klhdc8a",0,0,0,0
"Nuak2",4,1,41,8
"Tmcc2",14,24,14,12
"Dstyk",293,430,161,178
"Rbbp5",1418,1891.5,1118.5,1215.5
"Tmem81",0,0,0,0
"Cntn2",0,1,1,0
"Nfasc",0,0.25,2.87,0.5
"Lrrn2",3.25,3,0.33,0
"Mdm4",8487.48,11991.62,7999.53,9168.37
"Pik3c2b",44,62.5,67,20
"Ppp1r15b",3318,4338.2,3099,3391
"Plekha6",2,5.75,23.5,30.5
"Golt1a",0,0,0,0
"Kiss1",0,0,0,0
"Ren1",0,0,1,0
"Etnk2",1,0.5,1,0
"Sox13",2,14,5,2
"Snrpe",1893.58,1296,1290.5,1118.75
"Zc3h11a",5203,6082.5,5267.67,5196.17
"Zbed6",0,0,0,0
"Lax1",8265,12313.12,10414,12709.5
"Atp2b4",1417.11,2056.11,1536,2124.61
"Optc",0,0,0,0
"Prelp",0,2,3,1
"Fmod",0,0,0,0
"Btg2",2818,3975,2622,2533
"Chit1",5.13,2.4,4,2.33
"Chil1",0,3,11,1
"Mybph",2,0,1,1
"Adora1",0,0,0,0
"Myog",0,0,0,0
"Ppfia4",12,23,65.14,64
"Tmem183a",1355.67,1638.33,1261.14,1382.64
"4933406M09Rik",0,0,0,0
"Cyb5r1",477,674,451,508
"Adipor1",2487,3129,2500,2688
"Klhl12",584,737,473,551
"Rabif",1095,1210,912,1051
"Gm29376",1209.65,810.02,785.31,764.62
